DIPOCE,DI_NCO,PO_HV,PO_f,BA_Code,BA_Mn,PO_Phr,BA_Phr,FS_Phr,Cata_Phr,f(H2O),M_loss,Yield,R,CHS,A_Mix_t,AB_Mix_t,Q,Cata_Code,MCS,CS_rate,CS_TD,Closed_CC,CS(KPa)
1010010000,33.6,391.0727198,6.225761444,1000,51.0586582,99.58731419,19.38982168,1.501127489,1.243616198,0.052343333,21.55779844,88.75803746,1.5,55.41197507,553.15,15,0,100000,196,0.001666667,0,85.9791,69.6
110000000,31,420,4.5,1001,40.71025641,90.09459459,7.135135135,1.8,1.3,0.11,9.764764765,95.75694309,1.1,59,462,8,0,100000,122,0.001666667,0,94.2,280
110000000,31,420,4.5,1000,18,90.09459459,3.667567568,1.8,1.3,0.11,8.808808809,96.56317126,1.1,63.9,87.65,8,0,100000,117.3,0.001666667,0,93.5,248
110000000,31,420,4.5,1001,40.71025641,90.09459459,7.135135135,1.8,1.3,0.11,9.764764765,95.75694309,1.1,59,462,8,0,100000,157.38,0.001666667,1,94.2,178
110000000,31,420,4.5,1000,18,90.09459459,3.667567568,1.8,1.3,0.11,8.808808809,96.56317126,1.1,63.9,87.4,8,0,100000,150.1,0.001666667,1,93.5,126
110100000,31.5,395.4433017,5.263539599,1000,18,85.5,1.695,2.55,2.55,0.11,5.593220339,97.67359887,1.25,63.9,60,10,208.91,100000,566,0.001666667,0,81,230
100000100,31.25,605.1,4.654819236,990.26,21.87110256,68.96551724,4.783068594,1.360330835,1.029880978,0.120307667,9.559873653,96.57397528,1,59.18367347,250.3,10,0,100100,180.16756,0.001666667,0,83.786,131
100000100,31.25,992.4,4.734596946,1000.22,29.50778241,42.01680672,3.474813432,1.356445716,1.03854802,0.131233222,8.83622321,96.76743656,1,70.41420118,298.4,10,0,100100,223.40825,0.001666667,0,85.3767,137
100000100,31.25,692.5,4.678601863,1000.23,34.7733978,60.24096386,4.837419504,1.33892375,1.037600938,0.118567667,9.443052291,96.62885068,1,62.40601504,330.6,10,0,100100,189.97076,0.001666667,0,84.31,132
100000100,31.25,660.2,4.675710608,1000.24,34.80626176,63.29113924,4.881347816,1.371125152,1.0384589,0.116786556,9.510220916,96.58474919,1,61.24031008,330.6,10,0,100100,187.16476,0.001666667,0,85.1054,146
100000100,31.25,660.2,4.675710608,1000.24,34.80626176,63.29113924,4.881347816,1.35800169,1.0389589,0.116786556,9.510220916,96.58474919,1,61.24031008,330.6,10,0,100100,187.22876,0.001666667,0,84.892,138
100000100,31.25,750.6,4.610629653,1000.25,30.64329523,55.55555556,4.274162322,1.345925089,1.050554131,0.116864556,9.312673041,96.75423381,1,64.28571429,307.55,10,0,100100,195.55825,0.001666667,0,83.7455,133
100000100,31.25,750.6,4.625046698,1000.25,30.64329523,55.55555556,4.274162322,1.345925089,1.050554131,0.116864556,9.312673041,96.75423381,1,64.28571429,307.55,10,0,100100,195.55825,0.001666667,0,84.4505,139
100000100,31.25,750.6,4.632976192,1000.25,30.64329523,55.55555556,4.274162322,1.35904855,1.050054131,0.116864556,9.312673041,96.73175684,1,64.28571429,307.55,10,0,100100,195.62225,0.001666667,0,84.8744,143
100000100,31.25,555,4.577461167,990.26,22.55241026,75.18796992,4.833875923,1.343016047,1.02163705,0.120912889,9.788580711,96.59085932,1,57.08154506,261.2,10,0,100100,179.13968,0.001666667,0,84.4183,143
100000100,31.25,555,4.577461167,990.26,22.55241026,75.18796992,4.833875923,1.343016047,1.02223705,0.121135111,9.790573464,96.59085932,1,57.08154506,261.2,10,0,100100,179.42968,0.001666667,0,85.0399,162
100000100,31.25,1208.4,4.767450282,1000.21,29.50778241,34.60207612,3.474813432,1.334414438,1.032404683,0.139795444,8.803126565,96.77850846,1,74.29305913,295.4,10,0,100100,240.88125,0.001666667,0,84.9937,136
100000100,31.25,1208.4,4.72465177,1000.21,29.73488497,34.60207612,3.332438244,1.334808016,1.025934198,0.144473778,8.472954354,96.70566429,1,74.29305913,295.5,10,0,100100,238.86547,0.001666667,0,86.9168,176
100000100,31.25,484.2,4.591020857,990.27,22.32530769,86.20689655,4.89445947,1.30414299,1.098148367,0.112223,9.893945503,96.4696196,1,53.7037037,258.1,10,0,100100,161.78868,0.001666667,0,83.7423,141
110000000,31.4,490,4.3,1000,18,68.99406651,1.37988133,2.069821995,1.207396164,0.11,3.373043252,98.05757524,1.2,59.17367519,16.85,10,336,100000,103,0.00164042,0,92.98,723
100010000,31.4,211,2,1000,18,83.85111396,1.677022279,0.41925557,1.467394494,0.11,4.099387794,97.81266576,1.1,54.39183796,166,10,336,100000,48,0.00164042,0,57.08,132
100010000,31.4,495,6,1000,18,84.43449994,1.688689999,0.4221725,1.477603749,0.11,4.127908886,97.80457198,1.3,54.21979078,32,10,336,100000,20,0.00164042,0,79.97,628
110010000,31.5,1365.168399,2.667359667,1001,52.65986509,66.22516556,20.86092715,1.490066225,0.662251656,0.083333333,22.29580574,89.53638954,1.1,65.15679443,300,20,53.47,100000,594,0.002083333,0,92.1766,240
110010000,31.5,1362.050297,2.844504543,1001,52.6495232,66.22516556,20.86092715,1.490066225,0.662251656,0.083333333,22.29580574,89.50376721,1.1,65.03496503,300,15,36.085,100000,377,0.002083333,0,91.634,250
110010000,31.5,1358.9202,3.022330901,1001,51.3485232,66.66666667,21,1.5,0.666666667,0.083333333,22.44444444,89.47094084,1.1,64.9122807,300,20,49.955,100000,422,0.002083333,0,92.0216,300
